Issue Type,Issue key,Issue id,Summary,Parent,Parent key,Parent summary,Priority,Status,Custom field (Story Points),Assignee,Assignee Id,Remaining Estimate,Time Spent,Sprint,Sprint.1,Sprint.2,Sprint.3,Sprint.4,Sprint.5,Sprint.6,Sprint.7,Sprint.8,Sprint.9,Sprint.10,Sprint.11,Sprint.12,Sprint.13,SP (Days),Rem (Secs),Spent (Secs),Rem (Days),Spent (Days),Calculated Rem (Days),Calculated Spent (Days)
Sub-task,AWAMWRS-8739,3064618,[HK/Phoenix] add 100 length limit for Related PEP Name (For RCA only) (Max 100 char),2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,,Lishan,62ea83001323922c61e1ff04,0.0,0.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,0.0,,0.0,,0.0,0.0,0.0
Sub-task,AWAMWRS-8732,3040927,[HK/Phoenix] there are some issues on the Country Risk caused by the sequence of approval,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8731,3040800,[HK/Phoenix] update Country Risk Rating in DB,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8706,2992113,"[HK/Phoenix] update to wrap the ""Country Risk Attributes"" text",2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8661,2979890,[HK/Phoenix] update to use HK Time for checked Date,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8626,2946377,[HK/Phoenix] frontend country risk attributes calculate issue for corporate client,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8620,2941871,[HK/Phoenix] can not update related clients' countryRiskAttributes,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8619,2941868,[HK/Phoenix] corporate's place of incorporation miss to calculate countryRiskAttributes ,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8618,2935512,[HK/Phoenix] Incorrect Sequence of Historical Information of Correspondence Address,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,TBD,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8615,2920627,[HK/Phoenix] PEP Issue -Unexpected alert pop up message under Display mode,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,1.0,Lishan,62ea83001323922c61e1ff04,0.0,28800.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,1.0,,0.0,,0.0,0.0,1.0
Sub-task,AWAMWRS-8614,2920609,[HK/Phoenix] PEP Issue -Country Risk Attributes and Country Risk values missing in display mode,2048754.0,AWAMWRS-7462,[HK/Phoenix] Modify red flag tab to Client Red Flag/PEP/Country Risk Individual Onboarding tab,High,Done,2.0,Lishan,62ea83001323922c61e1ff04,0.0,57600.0,15 WRS.Sprint.2025.Jul.29,16 WRS.Sprint.2025.Aug.12,14 WRS.Sprint.2025.Jul.15,17 WRS.Sprint.2025.Aug.26,18 WRS.Sprint.2025.Sep.09,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,2.0,,0.0,,0.0,0.0,2.0
Story,AWAMWRS-8474,2816036,[SG] Identify potential breaks at the order or transaction level ,2758442.0,AWAMWRS-8367,[SG] Recon - Ops Transaction Monitoring,High,Validating,5.0,Lotus,62d07088c4c3be001fb5a380,144000.0,0.0,21 WRS.Sprint.2025.Oct.21,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Sub-task,AWAMWRS-8450,2804955,[HK/Phoenix] Enhance the Phoenix B/E Logic of Individual and Corporate Client Profile Tab,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-8449,2804815,[HK/Phoenix] Enhance the UI of Individual and Corporate Client Profile Tab,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,Critical,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,3.0,,0.0,,0.0,0.0,3.0
Sub-task,AWAMWRS-8448,2804797,[HK/Phoenix] Show Age and Vulnerable Client,2298859.0,AWAMWRS-7783,[HK/Phoenix] Day 2 Data Fields - Enhance Individual and Corporate Client Profile Tab,High,Done,2.0,Faye,62d070fabb346bdf82faed3a,0.0,57600.0,19 WRS.Sprint.2025.Sep.23,20 WRS.Sprint.2025.Oct.7,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,2.0,,0.0,,0.0,0.0,2.0
Task,AWAMWRS-8359,2738969,[HK/Phoenix] Revise opt-in in client design,2815667.0,AWAMWRS-8473,[HK] Data Discrepancies follow Up and enhancements 25/26,Critical,In progress,5.0,Paddy,60467f23116c460070d87237,144000.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,5.0,,0.0,,0.0,5.0,0.0
Enabler,AWAMWRS-8061,2445042,[SG] Enhance transaction feed to handle Reversed status for transaction in PSPL feed,2514626.0,AWAMWRS-8140,[SG] SG Small Enhancements Q4 2025,Medium,To Do,3.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,86400.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Story,AWAMWRS-7993,2406890,[HK/Phoenix] Implement Document List Read-Only Mode with Historical Data Access,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,Critical,Validating,1.0,Faye,62d070fabb346bdf82faed3a,28800.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,1.0,,0.0,,0.0,1.0,0.0
Story,AWAMWRS-7960,2392751,[HK/Reporting] Operation Reporting (Country Risk Changes) (Internal Reporting Day 2),1836753.0,AWAMWRS-6754,[HK/Phoenix] Day 2 - Ops Reporting and Workflow (2025 Part 1),TBD,To Do,3.0,Stephen,712020:1b3c7415-dfe6-416d-8f93-dc64e9ff7c57,86400.0,0.0,21 WRS.Sprint.2025.Oct.21,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,3.0,,0.0,,0.0,3.0,0.0
Story,AWAMWRS-7815,2318036,[HK/Phoenix] Enhancement for Update address/contact with roles and new design,1879965.0,AWAMWRS-6976,[HK/Phoenix] Account Sub Tab Address Cleanup & Enhancement (Day 2 Data Fields/Process Enhancement),High,In progress,8.0,Maximilien,632a13542eaaa5dcfa1199bf,230400.0,0.0,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,8.0,,0.0,,0.0,8.0,0.0
Story,AWAMWRS-7497,2067999,[HK] PnL Feed Processing/Data SpotCheck - Exception Reporting,3530319.0,AWAMWRS-9222,[HK/Biz/Ops] To support iFUNDS Enhancement on BB4 dashboard - Phase Batch Updates / Data Loading 2026 Extension,Medium,To Do,8.0,Grant,712020:953f9f48-c0e2-4e36-ba3d-1095ccaf30c8,230400.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,8.0,,0.0,,0.0,8.0,0.0
Sub-task,AWAMWRS-7468,2049263,"[HK/Phoenix] Adding soft warning message when the Maker or the Checker clicks ""Submit"" button during Individual/Corporate Maintenance",1691012.0,AWAMWRS-5770,[HK/Phoenix] All in one maintenance implementation,High,Done,3.0,Faye,62d070fabb346bdf82faed3a,0.0,86400.0,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,3.0,,0.0,,0.0,0.0,3.0
Story,AWAMWRS-6742,1831376,[HK/Phoenix] Design to Support Phoenix Access Control for different Users,2884970.0,AWAMWRS-8511,[HK/Phoenix]  Phoenix General Function Enhancement (25Q4),Critical,To Do,8.0,Maximilien,632a13542eaaa5dcfa1199bf,230400.0,0.0,09 WRS.Sprint.2025.May.6,11 WRS.Sprint.2025.Jun.3,12 WRS.Sprint.2025.Jun.17,13 WRS.Sprint.2025.Jul.1,23 WRS.Sprint.2025.Nov.18,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,8.0,,0.0,,0.0,8.0,0.0
Operational Support,AWAMWRS-4536,1520138,[HK] API support for updating date_closed column in WRS Accounts Table,3410635.0,AWAMWRS-9120,WRS Tech items 26Q1 (Tech Debt/ Performance Tuning/ Tech Testing,TBD,To Do,,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,0.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0
Story,AWAMWRS-7994,2406898,[HK/Phoenix] Align KYC excel document list flow with Phoenix,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,TBD,In progress,8.0,Faye,62d070fabb346bdf82faed3a,144000.0,86400.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,8.0,144000.0,86400.0,5.0,3.0,5.0,3.0
Story,AWAMWRS-9258,3538802,[HK/Phoenix] create new table for document types,1691999.0,AWAMWRS-5781,[HK/Phoenix] Day 2 Data Fields/Process Enhancment - Document Lists for Individual and Corp,High,In progress,5.0,Lishan,62ea83001323922c61e1ff04,115200.0,28800.0,23 WRS.Sprint.2025.Nov.18,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,5.0,115200.0,28800.0,4.0,1.0,4.0,1.0
Task,AWAMWRS-8265,2613436,[HK/SG] Prepare WRS Disaster Recovery Exercise,2604617.0,AWAMWRS-8244,[WRS] 2025-26 DR,TBD,In progress,5.0,Sunil,6281c0cbbdf2f30067d1f93a,115200.0,7200.0,21 WRS.Sprint.2025.Oct.21,24 WRS.Sprint.2025.Dec.2,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,5.0,115200.0,7200.0,4.0,0.25,4.0,0.25
Story,AWAMWRS-9163,2332445,"[HK] Frontend, workflow and audit for corporate action shareholder notification",879755.0,ASIAPLAN-1327,HK: Automating Fund notices process / Dealing suspension,Critical,In progress,8.0,Nick,712020:166d0b2c-d022-4480-b4dc-62b0e4209690,115200.0,115200.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,8.0,115200.0,115200.0,4.0,4.0,4.0,4.0
Task,AWAMWRS-5600,1673770,[HK] CA send legacy-trailer-fee to ADO Secure-Inbox 2.0,1651187.0,AWAMWRS-5473,[HK/Lifeco/Business] Lifeco Oracle Decommission - ADO S6 Report  Delivery Process- MAM Trailer Fee Breakdown,High,To Do,3.0,Rozwel,712020:5961d129-51ae-4822-ae22-dfed75571365,86400.0,0.0,11 WRS.Sprint.2025.Jun.3,12 WRS.Sprint.2025.Jun.17,13 WRS.Sprint.2025.Jul.1,21 WRS.Sprint.2025.Oct.21,22 WRS.Sprint.2025.Nov.4,24 WRS.Sprint.2025.Dec.2,25 WRS.Sprint.2025.Dec.16,26 WRS.Sprint.2025.Dec.30,01 WRS.Sprint.2026.Jan.23,,,,,,3.0,115200.0,57600.0,4.0,2.0,3.0,0.0
Task,AWAMWRS-9264,3548126,[HK] Enhance WRE transaction-fee api to allow corporate account,3488197.0,AWAMWRS-9176,"[HK] Handling of Corporate Clients' all transaction including subscription, cash withdrawals, redemptions, and switching",Critical,In progress,3.0,Dylan,6042517281a8400068f38991,86400.0,0.0,01 WRS.Sprint.2026.Jan.23,,,,,,,,,,,,,,3.0,86400.0,0.0,3.0,0.0,3.0,0.0
